,Content
12,"-Apreensão de drogas:

- COCAÍNA:

2008: 3.584,9 / 2009: 3.702 / 2010: 5.133,7 / 2011: 5.935,6 / 2012: 6.843,7 / 2013: 5.863,2/ 2014: 7.822,8
2015: 7.636,90 / 2016: 6.680,3 / 2017: 9.265,2 / 2018: 18.771,3 

2019: 24.064,2 / 2020: 30.351,4 / 2021: 40.247,9 / 2022: 30.070,2"
13,- É um completo escárnio soltar um indivíduo preso em flagrante por envolvimento com pedofilia e acusado de estupro de vulnerável em pleno dia das crianças! Um tapa na cara de pais e mães que temem pela segurança de seus filhos. Proteger as crianças deveria ser prioridade máxima!
14,"- IPCA cai 0,29% em setembro e tem 3a deflação mensal consecutiva. Sequência não ocorria desde 1998.

- Novamente, a queda no preço dos combustíveis (ICMS) puxou a deflação (IBGE). 

- Impactaram no resultado de setembro: setor de comunicação (-2,08%) e de alimentação (-0,51)."
15,"- Em 2018, antes de vencermos as eleições, o povo já conhecia parte daqueles que iriam compor o meu governo. Sabiam qual seria o perfil dos meus ministros e que todos seriam escolhidos com independência. Isso é fundamental para trabalhar pelo Brasil e não por interesses sombrios."
16,"-ABERTURA DE EMPRESAS (comparação)

. BOLSONARO:
.Recorde de diminuição de burocracia
. Mais facilidade (digitalizações recordes)
. Recorde de empresas abertas
. Novas empresas em 3 anos e meio de Bolsonaro: 8,1 milhões
. Tempo para abrir uma nova empresa no Brasil (jun/22): 23h"
17,"-EMPREGOS (comparação): 

- BOLSONARO:

. Maior número de brasileiros trabalhando na história: 100,2 milhões (jun/2022);

. Menor desemprego em 7 anos: 9,1% em julho/2022 (mesmo com pandemia e guerra);

. Saldo de mais de 5,5 milhões de empregos com crise mundial (desde jul/20);"
18,"É preciso estar atento aos sinais. O apoio maciço de presos e de chefe de facção ao Lula não é mera admiração. Eles sabem que o PT no poder representa vida boa para o crime. E essa é a fórmula perfeita para a violência voltar a crescer, porque bandido só respeita o que teme."
19,"- Tratar assaltante como vítima da sociedade é isentá-lo de sua responsabilidade. Existem milhões de pessoas humildes que levam a vida honestamente. É o bandido, não essas pessoas, que escolhe ameaçar pais e mães de família e tomar à força o que foi conquistado com muito suor."
20,"- Investigaram o Lula e ele foi preso condenado em três instâncias por corrupção e lavagem de $$$. Não venceu nada, recebeu uma mãozinha pra ser solto e reiniciar os processos. Os crimes existiram! E sobre essa ""vitória"" na ONU, é tão real quanto a democracia na Nicarágua."
21,"- Lula agora tenta dizer que é contra o aborto, enquanto é apoiado por quem defende; que é cristão, enquanto é apoiado por quem odeia igreja; que é contra as drogas, enquanto é apoiado por quem é a favor; que é contra a corrupção, enquanto ele e seu bando foram presos por isso..."
22,"- Mais um navio com diesel importado da Rússia chegou ao Brasil. São mais cerca de 30 milhões de litros aguardando para descarregar no porto de Paranaguá.

- A primeira remessa de 35 milhões de litros de diesel importado da Rússia chegou ao porto de Santos no dia 2 de outubro."
23,"Defender a democracia é louvável, só que a esquerda transformou isso em salvo-conduto de corrupto. ""Apesar de ladrão, defende a democracia"". O problema é que a corrupção é justamente um dos maiores atentados contra a democracia, já que a vítima é o seu principal pilar: o povo."
24,"- Não caiam em narrativas que tentam nos colocar contra nossos irmãos do nordeste. A esquerda divide para conquistar. Já tentaram com negros, mulheres, indígenas, etc. Agora tentam com nordestinos, para abafar conquistas como a Transposição do São Francisco, que nós concluímos."
25,"- A conversa mole agrada, mas é a coragem e a firmeza que garantem a segurança e o futuro de um povo e de uma nação nos momentos decisivos. São essas virtudes que nos protegem dos ataques à nossa soberania, das chantagens dos poderosos e dos conchavos que massacram o nosso povo."
26,"- Sempre existirá alguém que não gosta de você ou que você não gosta, é impossível agradar a todos. Agora, quando se trata de decidir os rumos de uma nação, é preciso ir além dessas questões. A disputa não é entre palavras duras e palavras doces, é entre caminhos bem distintos."
27,"- Diferenças sempre existirão, mas o que está em jogo neste momento é algo muito maior: o futuro do nosso Brasil. É hora de unirmos forças para proteger a liberdade e a dignidade do povo brasileiro e evitar que a quadrilha que assaltou e quase destruiu o país volte ao poder."
28,"- Cerca de 35 milhões de litros de diesel importado da Rússia chegaram ao porto de Santos.

- Outras operações de importação estão em progresso.

- Novas cargas são esperadas para outubro, aumentando a competição e pressionando para a queda dos preços do combustível."
29,"- Mantenham o foco! Um dos principais e mais difíceis objetivos foi alcançado ontem. Nós já temos o que é necessário para libertar o Brasil do autoritarismo, da chantagem e da injustiça que tanto nos idigna. A mudança mais profunda do país já começou! Não é o povo que deve temer."
30,"- Contra tudo e contra todos, tivemos no 1° turno de 2022 uma votação mais expressiva do que aquela que tivemos em 2018. Foram quase 2 milhões de votos a mais! Também elegemos as maiores bancadas da Câmara e do Senado, o que era a nossa maior prioridade neste primeiro momento."
31,"- É compreensível a Rede Globo torcer e trabalhar pela volta do Ladrão. Quem é roubado é o povo, não ela, e quem fatura é ela, não o povo. Comigo, gastos com publicidade nesses veículos, que chegavam a bilhões, caíram drasticamente! A preocupação não é com democracia, é com $$$."
32,"- É perda de tempo tentar retomar o velho teatro que condenou o nosso país a décadas de fracasso. Eu acabei com essa promiscuidade disfarçada de jogo democrático! Eu fiz o Alckmin parar de fingir que era oposição e assumir a paixão reprimida, o amor bandido pela hiena de 9 dedos."
33,"- Saldo líquido de emprego formal é positivo em 278.639 vagas em agosto.

- O saldo líquido de emprego formal no ano de 2022 é positivo em 1.853 milhão de vagas. (CAGED)"
34,"- O número de novos mercados abertos desde 2019 para produtos agropecuários brasileiros chegou a 229, em 54 países. 

- O  Brasil chegou a 43 novos mercados abertos para os produtos agropecuários desde janeiro até setembro deste ano."
35,"DIGITALIZACÃO:

- O Brasil conta com 4.900 serviços à população.

- O Brasil é o 7° país em serviços públicos digitalizados segundo ranking do banco mundial;

- Estima-se em R$ 4,5 bilhões por ano de economia para os brasileiros, desburocratizações e ganho de tempo;"
36,"- Para enganar inocentes, o PT agora se vende como ""do amor"". Considerando que promoveram o maior esquema de corrupção da história e colocaram o Brasil entre as nações mais violentas do mundo, com números de homicídios em níveis de um país em guerra civil, só se for amor bandido."
37,"- CONCLUSÃO DE OBRAS:

- Obras históricas iniciadas em governos anteriores e concluídas nesta gestão:

- BR-154, em Minas Gerais: pavimentação de trecho de rodovia que liga Centro-Oeste e Sudeste, após 50 anos de espera;

Segue o fio⬇️"
38,"Uma ponte incompleta não cumpre seu propósito pois não pode ser atravessada. Assim era a Transposição do São Francisco, que nós concluímos. Lula se gabar de uma obra que não concluiu, que estava atrasada há 10 anos e que custou BILHÕES a mais do que deveria, é pura pilantragem."
39,"- Lula não apresenta plano porque já negociou ministérios, estatais e bancos em troca de apoio. Esse modelo promíscuo resulta num governo que trabalha por interesses estranhos e não pelos da nação. Não dá pra assumir compromissos com o povo se já está comprometido com maracutaia!"
40,"- Petrobras reduz novamente preços de venda do gás de cozinha para as distribuidoras:

- A partir de amanhã, 23/09, o preço médio de venda passará de R$ 4,0265/kg para R$3,7842/kg (R$49,19 por 13kg), redução média de R$3,15 por 13 kg.

-O imposto federal do gás de cozinha é ZERO."
41,"- População ocupada cresce 7,5% e taxa de desocupação atinge 8,9% em julho.

- População ocupada chega a 100,2 milhões de pessoas em julho.

- A taxa de desocupação recuou pelo décimo quarto mês consecutivo."
42,"- Mais um recorde!

- A PRF apreendeu 1.2 ton de cocaína em São José de Mipibu/RN.

- Mais de R$ 220 milhões de prejuízo ao crime organizado.

- Vidas e famílias salvas deste mal que destrói a muitos.

-A droga saiu da Bolívia e seria levada para a Europa via Porto de Natal (RN)."
43,"-Mercado eleva novamente previsões para PIB e reduz de inflação em 2022 e 2023;

-Inflação despenca pela 11ª semana seguida;

-Diesel acompanha queda da gasolina e fica 6% mais barato;

-Ibovespa dispara tocando os 111 mil pontos, se descolando do exterior e dólar recua 1,5%."
44,"- O Brasil não assistirá de braços cruzados a mais um episódio dessa perseguição diabólica contra cristãos promovida pela ditadura socialista da Nicarágua. Estamos prontos para acolher padres e freiras perseguidos, facilitando ainda mais seu ingresso e instalação em nosso país."
45,"- Petrobras reduz preços de venda de diesel para as distribuidoras:

- A partir de amanhã, 20/09, o preço médio de venda de diesel da Petrobras passará de R$ 5,19 para R$ 4,89/litro, uma redução de R$ 0,30/litro.

- Obs: o Governo Jair Bolsonaro zerou o imposto federal do diesel."
46,"- Brasil vira o sexto principal destino de investimentos no mundo;
- Maior número de brasileiros com trabalho na história;
- Brasil volta às 10 maiores economias do mundo
- Uma das gasolinas mais baratas do mundo;
- Menor número de homicídios em duas décadas;"
47,"- O Governo Federal, em agosto, arrecadou mais de R$ 10 milhões com leilões realizados com a venda de bens do tráfico.

- Desde o início de 2022 já foram arrecadados mais de R$ 74 milhões, em 249 leilões.

- Equipamento das Forças de Segurança e retorno para a sociedade."
48,"- Mais dados sobre o Governo Federal e a SEGURANÇA:

- HOMICÍDIOS - MORTES VIOLENTAS INTENCIONAIS

. A média anual de mortes violentas intencionais intencionais caiu de 61 mil anuais (2015–2018, Governos Dilma e Temer) para 48 mil anuais (2019–2021, Governo Bolsonaro);"
49,"- Com o PT, funcionários dos Correios passaram a pagar taxas mensais para cobrir o rombo nos fundos de pensão causado pelo maior esquema de corrupção de nossa história. Hoje, funcionários dos Correios recebem participação nos lucros da empresa, que tem batido recordes históricos."
50,"- PARANÁ e ALAGOAS/ CASA VERDE E AMARELA

- 520 famílias em Apucarana e 480 famílias em Maceió recebem as chaves da casa própria.

- São mais 4.000 mil pessoas em novos lares."
51,"- Após mais uma tentativa covarde de me associar a um crime brutal sem o menor fundamento, a imprensa teve que descartar a narrativa por conta de uma tatuagem de Lula no braço do assassino. Dificilmente seguirão dando destaque, prova de que a preocupação nunca foi com as vítimas."
52,"- A partir de hoje, a Petrobras reduz o preço médio de venda do gás de cozinha (GLP) para distribuidoras, passando de R$ 4,23/kg para R$ 4,03/kg, equivalente a R$ 52,34 por 13kg: redução média de R$ 2,60 por 13 kg.

- Lembrando que o imposto federal sobre o gás de cozinha é zero!"
53,"- Títulos de Propriedade:

- Totais de cada período:

. lula (2003–2010): 99.050
. dilma (2011–2016): 176.627
. Temer (2017–2018): 208.563
. lula e dilma (2003–2016): 275.677
. dilma e Temer (2015–2018): 248.712
. Bolsonaro (2019–2022): 402.435"
54,"- Brasil tem deflação de 0,36% em agosto, a menor taxa para o mês em 24 anos.

- Segunda queda de preços consecutiva, sendo o primeiro resultado abaixo dos dois dígitos desde setembro do ano passado, mostra IBGE."
55,"- Confirmados, Jogos Escolares 2022 valem para Bolsa Atleta e Auxílio Esporte Escolar.

- Principal competição do desporto escolar na faixa etária de 12 a 14 anos.

- Retomado em 2021 após 17 anos, a competição reuniu mais de cinco mil estudantes das 27 Unidades da Federação."
56,"- REVOLUÇÃO FERROVIÁRIA: 

- De 2019 a 2022, o Governo Federal viabilizou, através de leilões, concessões pelo Programa Pro-Trilhos, R$ 133,24 bilhões de investimentos projetados e 27 contratos assinados, que totalizarão 9.922,5 km de novos trilhos à malha ferroviária brasileira."
57,"- Associar as milhões de famílias que foram pacificamente às ruas manifestar seu amor pelo Brasil no dia de nossa Independência a um grupo terrorista, racista e antissemita, como a Ku Klux Klan, é de longe a maior e mais covarde ofensa ao povo brasileiro que já vi em minha vida."
58,"- Esse mês a EMBRAPII traz muita novidade!

- A EMBRAPII e a ANPROTEC assinaram um acordo que visa aumentar o fomento de projetos de startups e empresas de pequeno porte do Brasil."
59,"""Quando a vida parece difícil, os corajosos não se deitam e aceitam a derrota; em vez disso, estão ainda mais determinados a lutar por um futuro melhor""

- Com tais palavras, Rainha Elizabeth II mostra por que não foi apenas a Rainha dos britânicos, mas uma rainha para todos nós."
60,"- Governo Federal lançou ""Programa Aproxima"" (2021), que disponibiliza imóveis públicos para habitação social.

- Iniciativa oferece à famílias de baixa renda a oportunidade de ter a casa própria por meio de imóveis públicos desocupados em áreas urbanas de grande movimentação."
61,"- Hoje, mais do que nunca, pudemos assistir e sentir o despertar do patriotismo e do profundo amor pelo Brasil. As ruas foram tomadas pelas cores de nossa linda bandeira e nosso glorioso hino nacional foi cantado por milhões de homens e mulheres, de todas idades, classes e cores."
62,- Nossos cumprimentos à Liz Truss (@trussliz) por ter sido escolhida para liderar o Partido Conservador e para ser a próxima Primeira-Ministra do Reino Unido. Nossos povos compartilham o apreço pela soberania e pela liberdade e poderão realizar muito através da cooperação.
63,"- Há exatos quatro anos, eu vivia um milagre em Juiz de Fora-MG. Uma tentativa de assassinato promovida por um militante de esquerda tentava me tirar das eleições. Um atentado não só contra mim, mas contra todos aqueles que acreditavam em mim. Um atentado contra a democracia."
64,"- A quem estiver em Brasília hoje, terça, comunico que ocorrerá, a partir de 23h, na Torre de TV, o início das festividades do 7 de Setembro.

- Por volta de 0h, um espetáculo de fogos de artifício com as cores do Brasil iluminará o céu da cidade.

- Todos podem comparecer!"
65,"Pela 10ª semana seguida, o mercado reduziu a projeção de inflação, que agora está em 5,27%. Enquanto isso, o PIB cresce tendo o sétimo maior crescimento do mundo no segundo trimestre e o desemprego cai a menos de dois dígitos (9,1%)."
66,"- Durante muito tempo o Brasil viveu num mundo de aparências, anestesiado por uma falsa sensação de paz e harmonia propagada pela mídia, onde políticos, com palavras agradáveis, falavam o que o povo queria ouvir, enquanto, no apagar das luzes, conspiravam contra esse mesmo povo."
67,- JB 👍.
68,"- INFRAESTRUTURA ESPORTIVA
Brasil supera marca de 4,4 mil obras de infraestrutura esportiva concluídas.

- São ginásios, pistas de atletismo, campos de futebol, piscinas, academias ao ar livre, estádios, espaços poliesportivos, pistas de skate, quadras de tênis e campos."
69,"- Marco do Saneamento: 🇧🇷 desativa 600 lixões em um ano.

- O encerramento de lixões vem sendo promovido pelo Programa Lixão Zero, lançado em 2019.

- Outro objetivo do Programa é o reaproveitamento e reciclagem. Entre as ações, estão investimentos em geração de energia."
70,"- Igualdade é tratar a todos sem distinções, partindo do princípio de que ninguém é inferior ou superior a ponto de ser imune a críticas. Quando se usa da condição biológica como escudo para ser desrespeitoso e se blindar de resposta à altura, a igualdade dá lugar ao oportunismo."
71,"- CULTURA QUE NÃO TE CONTAM:

- Em junho de 2020, pela Lei Aldir Blanc, o Governo Federal liberou R$ 3 bilhões como renda emergencial para 2,7 milhões trabalhadores da cultura atingidos pelo fecha tudo irresponsável e pelo “fique em casa que a economia a gente vê depois”."
72,"- Brasil crescendo acima das expectativas e superando países do G7 (OCDE). Inflação menor que EUA e Alemanha (IPCA). Desemprego caindo (Caged). Investimentos em alta (Banco Central). Violência em queda (estados/DF). São fatos! Contra fatos não há argumentos. Que comece o ""mas""!"
73,"- Nova redução de preços da gasolina!

- A partir de amanhã, 02/09, o preço médio de venda de gasolina da Petrobras para as distribuidoras passará de R$ 3,53 para R$ 3,28 por litro, uma redução de mais R$ 0,25 por litro."
74,"- Aberta mais uma chamada do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) que vai apoiar projetos que visem a contribuir para o desenvolvimento científico, tecnológico e de inovação no país por meio da realização de olimpíadas científicas de jovens."
75,"- Ultrapassamos os 400 mil títulos de propriedade emitidos em pouco mais de 3 anos de Governo (402.435 até hoje). 

- Os pequenos agricultores se libertam das amarras de grupos partidários, participando agora de políticas públicas de incentivo à produção e renda de suas famílias."
76,"- 7 de setembro será lindo!
- É o dia de todos os brasileiros!
- É o dia de relembrar nossa independência e renovar nossa luta pela liberdade!"
77,"- Em 2018, o PT dizia que a violência aumentaria em meu governo. Hoje temos o menor nível de homicídios de toda a série histórica. Disseram que abandonaríamos os mais pobres. Hoje pagamos no mínimo 3x mais que a média do bolsa família e incluímos mais 6 milhões de pessoas."
78,"- Os recordes não param de ser batidos: a Polícia Rodoviária Federal apreendeu 250 kg de cocaína em Piraju (SP). 

- Apenas nessa, R$ 44 milhões de perda para o crime organizado.
 
- Mais um golpe ao crime organizado, vida salvas e famílias preservadas."
79,- Agradeço aos organizadores das motociatas gamer. 👍.
80,- JB 22. 🇧🇷
81,- Obrigado a todos pela audiência! Palavras polidas confortam. Falsas promessas iludem. Mas só a verdade edifica! O Brasil é nosso! 🇧🇷
82,"- Fato novo: após construção de Centros da Cidadania para prática de esportes em todos com estados com instrutores capacitados, extensão do bolsa atleta para estudantes e redução de mais impostos envolvendo gêneros para capacitação atlética e alimentar."
83,"- Petrobrás anunciou ontem a redução de 10,4% do preço do querosene de aviação, a segunda para agosto. A medida deve aliviar não somente o preço de passagens como de outros itens que são transportados pelo modal aéreo, como medicamentos e alimentos."
84,"- Como nós, muitos querem um futuro verde e amarelo, que não representa esse ou aquele candidato, mas a nossa identidade como BRASILEIROS acima de quaisquer diferenças e a liberdade de nossa nação. Outros desejam o vermelho, com divisão, violência, corrupção e autoritarismo."
85,"- Ninguém deveria estar surpreso. Na verdade, compreendo perfeitamente a Globo tratar melhor aqueles que estão dispostos a pagar mais. Eles são a esperança de dias melhores para a emissora. Nada mais coerente do que pegar mais leve. Estranho seria comigo, que fechei a torneira."
86,"- Por conta de atraso em Cerimônia no STJ, na qual estamos presentes, a live de hoje será iniciada às 19:30h. Até lá! 👍."
87,"- Respeitar a democracia é muito diferente de assinar uma “cartinha”. Honrar a Constituição, em especial direitos e garantias fundamentais, é o que diferencia DEMOCRATAS de DEMAGOGOS."
88,"- Ingenuidade crer que países que destruíram praticamente toda sua área verde atacam o Brasil, que é referência em energia limpa e preservação, porque se preocupam com meio ambiente. O silêncio sobre problemas em seus próprios quintais mostra que o interesse é em nossos recursos."
89,"- Sob comando do PT, o Brasil atuava como mina de ouro da esquerda na América Latina, servindo a aliados aversos à democracia e deixando em segundo plano os interesses de nossa nação. Enquanto bancavam obras em Cuba e na Venezuela, por exemplo, abandonavam as do próprio país."
90,"- Em mais uma rodada, Famílias de baixa renda de Macapá (AP) e João Pessoa (PB) recebem casa própria.

- Mais de 1 milhão de moradias foram entregues desde 2019 em todo o Brasil, priorizando as obras abandonadas como respeito aos recursos do contribuinte."
91,"- SERGIPE: o Governo Federal inaugurou ontem o Sistema Integrado de Abastecimento de Água da Adutora do Piauitinga, em Lagarto-SE. Mais de 121 mil pessoas de Lagarto, Simão Dias, Pedrinhas e Riachão dos Dantas terão água nas torneiras de casa."
92,"- Foi uma enorme satisfação participar do pronunciamento de William Bonner Kkkkk. Na medida do possível, com muita humildade, pudemos esclarecer e levar algumas informações que raramente são noticiadas em sua emissora. Pela paciência e audiência, o meu muito obrigado a todos!"
93,"- Daqui a pouco, às 20:30, estarei ao vivo no Jornal Nacional. Nos vemos lá! 👍🇧🇷."
94,"- Graças a legislação de agilização de vendas de bens do tráfico criada neste Governo, em mais uma rodada, foi arrecadado somente no mês de julho, mais de R$12,8 milhões com os 32 leilões realizados pela Secretaria Nacional de Política Sobre Deogas (SENAD)."
95,"- Após o maior aumento de piso salarial de professores perante série histórica, disponibilizado curso de Formação para Professores do Ensino Fundamental na plataforma Avamec."
96,- Nunca pedi pra ir em PodPal nenhum. Falei apenas com Flow. 👍.
97,"- O Governo Federal zerou imposto de importação de suplementos alimentares, como whey protein, creatina, BCAA e multivitamínicos, e diversos itens de nutrição esportiva, além de reduzir de 11,2 pra 4% os impostos para diversos outros itens, como proteínas lácteas e Albumina."
98,"- Antes de nossa chegada, o Brasil era marcado pelos altos impostos. Não se ouvia falar em redução, porque governos sempre repassaram a conta de suas políticas e práticas nefastas para o povo. Diziam que menos impostos era menos arrecadação, o que provamos ser uma grande mentira."
99,"- Saneamento Básico: em mais uma etapa desde 2019, destinados mais recursos para continuidade de obras de esgotamento sanitário, abastecimento de água e manejo de águas pluviais nos estados do Ceará, Goiás, Mato Grosso, Mato Grosso do Sul, Paraná, Rondônia e Rio Grande do Sul."
100,"- O aliado do descondenado na Nicarágua persegue cristãos. Na Venezuela, fecha jornais e deixa o país mais pobre que o Haiti. Em Cuba, prende opositores e proíbe cidadãos de deixarem o país. Outros aumentam impostos e liberam drogas. Mas há quem diga que ele não apoia nada disso."
101,- Mais um estímulo à prática ao esporte de jovens: Assinado o decreto que atualiza o rol das ENTIDADES ESPORTIVAS detentoras do direito de indicarem competições elegíveis para o recebimento da BOLSA-ATLETA NA CATEGORIA ESTUDANTIL! DECRETO 11.168/2022.
102,"- Sem guerra e pandemia, o PT entregou o país à pior recessão de nossa história. Em meu governo, mesmo com pandemia e guerra, benefícios sociais foram ampliados, milhões de empregos foram gerados e a economia voltou a crescer. Eles quebraram o Brasil. Nós quebramos paradigmas."
103,"- É preciso estar atento. A partir de hoje, mais do que nunca, os que amam o vermelho passarão a usar verde e a amarelo, os que perseguiram e defenderam fechar igrejas se julgarão grandes cristãos, os que apoiam e louvam ditaduras socialistas se dirão defensores da democracia."
104,"-Apreensão de 4 toneladas de maconha nas últimas 24 horas pela PRF:

. Campo Grande/MS: em conjunto com a Polícia Civil, Policiais fecharam oficina que armazenava 2,6 t da droga. 

. Bataguassu/MS: policiais encontraram 620 kg de maconha em veículo abordado em trecho da BR-267."
105,"- A partir de amanhã, 16/08, a Petrobras reduzirá em R$0,18 o preço médio de venda de gasolina para as distribuidoras, passando de R$3,71 para R$3,53 o litro.

- É a terceira redução anunciada nas últimas semanas. Brevemente teremos uma das ""gasolinas"" mais baratas do mundo."
106,"- O assentamento Salubrinho, em Andaraí, na Bahia, se programa para colher 100 ton de abacaxi no biênio de 2022 e 2023. A safra inicia este mês. Dentre as 40 famílias beneficiárias da reforma agrária nessa área, 13 se dedicam ao cultivo da fruta, que leva 14 meses para produzir."
107,"Produção de trigo no Brasil:

- Safra 2020: 6,2 milhões de ton/ano.
- Safra 2021: 7,8 milhões de ton/ano.
- Safra 2022: 9,2 milhões de ton/ano.

Consumo nacional: 12,8 mi/ton/ano. Em 2025 o Brasil deverá ser autossuficiente em trigo.

Parabéns aos triticultores e à EMBRAPA."
108,"- Em respeito à Glória Perez, não alimentarei essa exploração leviana em cima de sua perda irreparável. As ilações com base em informações falsas divulgadas por parte da mídia só expõem sua falta de escrúpulos e o desprezo pela dor das pessoas, tratando-as como meras ferramentas."
109,"- DESBUROCRATIZAÇÃO: Mais de 1,3 milhão de empresas são criadas no 🇧🇷 em 4 meses.

- Tempo médio de abertura de empresas cai para 1 dia e 2 horas em julho de 2022, representando redução de 5 horas em relação ao mês anterior (1 dia e 7 horas).

- O menor tempo médio já registrado."
110,"- Acredito que a ""carta pela democracia"", que foi lida na micareta do PT, teve algumas de suas páginas rasgadas, principalmente nas partes em que deveriam repudiar o apoio, inclusive financeiro, a ditaduras como Cuba, Nicarágua e Venezuela, bem como o controle da mídia/internet."
111,"- Hoje, aconteceu um ato muito importante em prol do Brasil e de grande relevância para o povo brasileiro: a Petrobrás reduziu, mais uma vez, o preço do diesel."
112,"- O Índice de Preços ao Consumidor Amplo, o IPCA, apresentou uma retração de 0,68% no mês de julho, segundo dados divulgados nesta semana.

- É a menor taxa mensal já registrada desde o início da série histórica em 1980 - Instituto Brasileiro de Geografia e Estatística (IBGE)."
113,"- Após intensa negociação com o Paraguai, foi aprovada a redução de 8,2% da tarifa utilizada na comercialização da energia de Itaipu Binacional, a primeira em quase 15 anos, que reduzirá custos de energia, produtos e serviços, beneficiando a região e, consequentemente, o Brasil!"
114,"- Longe do PT,  BNDES que patrocinava obras em ditaduras socialistas deixando de fora investimentos no 🇧🇷 além de outras movimentações sombrias, hoje o órgão recebeu a premiação de “transformação bancária” da América Latina do Euromoney Awards for Excellence em 2022."
115,"- Fora as ações já realizados desde 2019, privatizações e concessões devem atrair R$ 3 trilhões em 10 anos.

- Brasil deve receber R$ 203 bilhões de investimentos no próximo ano com projetos que estão sendo implementados.

. Infraestrutura, empregos e desenvolvimento."
116,"- Independentemente de preferências ideológicas, Jô Soares foi uma grande personalidade brasileira que conquistou a todos com seu modo cômico de discutir assuntos profundos. Que Deus conforte a família e o acolha com a cordialidade que o próprio Jô recebia a todos."
117,"- Mesmo que a Polícia esteja impedida de realizar certas operações, os recordes de apreensões de drogas não param de ser batidos.

- A PF apreendeu 605kg de cocaína no Porto de Santos."
118,"- Soube que o PT agora reza o Pai Nosso e usa bandeiras do Brasil em seus eventos. É um bom começo. Só falta parar de defender aborto, drogas, ideologia de gênero, desencarceramento, controle da mídia/internet, ladrões de celular, financiamento de ditaduras e diálogos cabulosos."
119,"- Petrobras anuncia redução do preço de venda do diesel para as distribuidoras de R$ 5,61 para R$ 5,41 por litro a partir de amanhã, 05/08. 

- A redução representa queda de R$ 0,20 por litro."
120,"- Lamento a oficialização do uso da ""linguagem neutra"" pela Argentina. No que isso ajuda o seu povo? A única mudança provocada é que agora há ""desabastecimente"", ""pobreze"" e ""desempregue"". Que Deus proteja os nossos irmãos argentinos e os ajude a sair dessa difícil situação."
121,"- Hoje, por volta das 20:10, entrarei ao vivo para uma exclusiva no SBT Brasil.
- Quem puder, peço que nos acompanhe.
- Às 21:30, também no SBT, Flamengo e Corinthians pela Libertadores da América."
122,"- O mercado esperava uma DEFLAÇÃO de -0,76% no Índice de Preço ao Consumidor- Semanal  (IPC-S). O resultado foi uma DEFLAÇÃO de -1,19%. 🇧🇷"
123,"-Governo Federal publica novo decreto para redução de 35% do IPI, valendo para mais de 4000 produtos produzidos no 🇧🇷

-Etrodomésticos, carros, motocicletas, bicicletas, TVs, celulares, aparelhos de ar-condicionado, equipamentos de ginástica, calçados e computadores, por exemplo."
